account_id,customer_id,credit_score,tenure,balance,num_products,has_credit_card,is_active_member,exited,complaints_last_year,monthly_transactions,average_transaction_value,last_login_days
7022674,103642,728,0,0,4,1,1,1,1,6,10.66,11
6770619,103704,648,0,5944.35,2,0,0,1,0,11,133.46,35
5437923,103717,686,1,20449.57,4,0,1,0,0,21,71,24
1728977,103883,658,10,592.36,1,1,1,0,1,11,60.35,4
8707870,104000,574,2,71024.29,2,1,0,0,4,8,159.73,7
9996414,104309,814,10,26380.56,3,1,0,0,1,4,60.15,21
3094235,104324,640,8,26779.33,3,1,1,0,1,15,15.81,0
7350753,104548,696,1,51329.83,2,0,1,1,0,30,73.95,9
2322047,104666,835,8,66617.5,2,0,0,1,3,10,13.7,19
5918715,104792,$637.00 ,1,$0.00 ,2,1,1,0,1,18,65.81,1
7067228,104877,684,2,27280.72,1,1,0,1,0,1,103.43,16
4226067,104895,735,4,18172.96,1,0,0,1,0,4,18.34,18
2166941,104942,826,0,28775.8,2,1,0,1,2,9,38.16,55
1768805,105066,598,1,189965.67,2,1,1,0,0,15,143.49,11
4823498,105274,850,0,139783,3,1,0,0,1,3,25.19,5
5855124,105324,731,4,27824.6,1,1,1,0,1,29,47.03,2
2338687,105433,733,1,0,4,1,0,1,0,4,37.96,7
4905582,105447,572,0,0,4,0,0,1,3,8,104.67,106
2694522,105506,833,1,0,2,0,0,1,1,4,50.6,37
7377459,105547,500,0,0,1,1,0,1,0,0,38.79,45
5663623,105735,697,2,81039.22,2,1,1,0,2,19,72.27,0
8606962,105814,635,3,25363.28,2,0,0,1,0,6,108.76,29
7120868,105919,728,1,20827.48,3,1,0,1,1,6,301.51,10
3728882,106029,724,3,33183.52,1,1,1,0,0,24,90.44,4
7210606,106182,736,6,47051.37,1,1,0,0,1,12,95.76,83
6960453,106185,604,0,56313.45,1,0,1,0,1,14,96.75,1
4514944,106402,554,9,0,1,1,1,0,0,13,78.45,4
5479144,106429,659,4,0,3,1,0,1,2,6,72.97,103
2197935,106658,638,10,83851.2,2,0,0,0,1,8,26.82,30
3871230,106687,629,1,41819.08,2,1,0,1,1,5,20.34,21
9961380,106693,712,3,0,4,0,1,0,0,22,66.73,4
5107245,106814,651,0,0,3,0,0,0,0,16,24.62,2
3741438,106887,785,2,0,2,0,0,0,3,1,24.54,1
8755439,106892,693,4,11001.32,1,0,0,0,1,6,59.3,7
7366205,106918,714,0,45905.01,3,1,0,1,1,2,113.73,0
5528972,106933,499,8,89117.17,3,1,0,0,1,9,18.7,21
4684531,106945,802,1,133872.91,3,1,0,0,1,5,19.82,6
6440561,107096,534,1,30217.98,1,1,0,0,1,14,127.21,70
1938483,107161,738,3,5917.33,3,1,0,1,1,8,106.26,3
4842788,107459,520,1,40782.48,1,1,1,1,0,10,712.76,5
1538552,107540,666,0,30609.05,2,1,0,0,1,6,78.4,27
6292423,107543,593,1,90311.21,3,1,1,0,0,3,186.74,0
7730428,107568,705,0,51420.51,2,1,1,1,2,18,16.88,21
5491946,107574,688,0,32569.13,2,1,0,1,1,5,123.14,79
2110460,107686,729,7,0,1,0,0,1,1,4,52.72,15
4539704,107704,780,1,32324.21,2,1,1,0,0,23,69.57,8
6279418,107790,776,2,0,4,1,1,0,0,20,30.41,0
4567281,108060,528,1,7789.66,1,0,0,1,2,1,123.27,119
9375710,108105,630,10,78813.9,1,1,0,0,3,3,37.56,9
7637601,108203,699,1,14296.85,1,1,1,0,2,29,39.9,5
8698256,108356,616,1,32464.31,2,1,0,1,1,0,108.76,32
3396987,108454,634,1,10437.46,1,1,1,1,0,23,25.67,0
5443951,108491,756,2,54523.82,1,1,1,0,0,20,82.77,5
3342608,108513,723,4,57681.85,2,1,1,0,0,15,31.49,6
5137722,108574,614,7,23034.3,1,1,1,1,1,18,119.22,7
5408072,108602,673,3,19169.65,4,1,1,0,1,19,96.32,0
8187926,108721,557,0,0,2,0,1,0,3,25,272.86,5
7700828,108739,496,10,34837.68,2,1,0,1,2,6,40.14,42
7073292,108827,546,10,91165.92,2,0,1,0,0,9,53.67,1
4679591,108874,656,1,22953.14,3,1,1,0,0,20,100.59,7
3320821,108886,704,3,32323.47,2,1,0,1,0,8,36.28,8
9548432,108887,583,3,27685.64,1,1,0,0,1,5,35.9,26
9279821,109231,718,4,36186.89,1,1,0,0,0,7,579.3,48
2525206,109330,630,1,0,2,0,0,1,0,5,34.51,5
1790481,109363,707,6,17143.82,1,1,1,0,0,14,340.62,10
2839607,109576,730,1,41973.78,3,0,1,1,0,16,218.23,5
3564251,109585,667,0,53736.95,3,1,1,1,1,13,69.01,1
3684052,109717,604,0,50289.87,1,1,1,0,1,3,29.62,2
8082668,109738,744,2,25681.38,3,1,1,0,0,32,137.06,1
2065818,109756,782,5,79502.28,1,1,1,0,0,20,51.3,3
7455324,109767,616,2,5622.94,3,0,0,0,2,6,180.72,5
7402509,109853,645,1,38494.9,1,0,1,0,0,15,202.41,1
8852574,109909,726,0,66176.98,2,1,1,0,1,27,52.82,1
9877065,110048,654,10,12874.04,1,0,1,1,1,13,67.25,0
5218028,110060,681,2,0,2,0,0,1,1,17,115.76,140
1192619,110139,674,2,0,3,0,1,1,2,37,63.32,10
2921859,110142,656,10,52321.57,1,1,0,0,1,10,164.78,61
5476583,110195,795,8,37977.75,2,1,1,0,2,28,52.71,0
6707197,110215,651,1,0,2,1,1,0,0,4,20.83,0
2871534,110644,797,3,50215.98,2,1,1,0,0,14,65.5,2
5924115,111060,501,3,79229.62,2,1,1,0,1,23,132.03,1
8294150,111068,632,0,40167.61,2,0,0,1,2,9,16.22,50
3653446,111091,507,0,117002.08,2,1,1,0,0,10,15.9,16
8612220,111106,775,3,0,1,1,1,0,1,15,95.69,1
1054447,111230,807,7,21942.89,1,1,0,0,2,9,82.73,24
5418934,111307,543,5,34816.06,3,0,0,0,0,10,287.45,31
9398441,111691,526,3,52859.59,1,1,1,0,0,17,160.57,23
3997281,111846,701,1,0,1,1,0,1,1,12,39.33,29
9517485,111901,671,8,0,2,1,0,1,1,12,97.23,25
2785277,111949,588,10,0,1,1,0,1,2,2,178.07,104
6007072,111989,601,0,0,4,1,1,1,1,12,81.68,7
9517169,111991,636,6,986.84,1,1,0,1,1,6,126.13,14
4337174,112038,456,3,46399.12,2,1,1,0,0,18,44.94,10
3564217,112166,674,6,107867.91,2,0,1,0,0,9,217.4,18
7273233,112210,692,0,82227.31,2,0,1,0,0,15,47.73,0
3710343,112394,655,10,39653.24,2,1,1,1,0,20,32.66,1
9897858,112426,759,0,12849.33,4,0,1,0,1,17,38.4,5
1009594,112439,651,10,26781.71,3,1,0,0,2,0,54.47,18
6438436,112537,621,5,15316.77,1,0,1,0,0,0,17.62,0
9197443,112542,560,3,0,3,1,0,1,1,10,30.67,25
1326765,112653,504,2,34267.58,4,1,0,0,2,6,61.59,40
2876828,112800,716,4,34584.44,2,0,1,0,0,18,314.16,5
7089806,112861,666,0,10345.16,1,1,1,1,1,28,193.86,1
6159230,112884,704,1,56845.5,1,0,1,0,1,13,69.04,17
5017343,112940,733,10,0,3,1,1,0,0,32,110.07,1
1971823,112960,555,2,0,2,1,0,0,0,6,57.51,41
5041154,112964,597,7,46426.38,2,1,1,0,1,11,78.49,20
2321324,113026,641,5,26110.35,3,0,1,0,2,19,693.34,1
2437026,113228,706,8,0,1,1,0,0,1,8,212.55,9
9153566,113266,800,3,36682.77,1,1,1,1,1,11,119.52,15
2161193,113280,550,0,43892.39,4,1,1,0,2,15,18.61,5
9937326,113368,754,0,15394.05,2,1,1,1,0,30,405.65,4
3109911,113390,736,6,64459.03,2,0,0,1,2,3,72.21,23
3154051,113595,611,2,22848.94,1,0,1,0,3,32,25.3,7
8973915,113721,563,7,54370.11,2,0,0,0,1,0,75.7,14
3770370,114338,742,7,87202.19,2,1,1,0,0,17,328.66,2
5446912,114400,720,0,6035.52,2,1,1,0,0,20,60.94,1
9852897,114463,681,1,23135.51,1,1,1,0,1,13,65.85,0
8099076,114594,729,1,33435.7,2,1,0,0,1,6,136.3,8
4553384,114760,530,10,81125.4,2,1,0,0,0,3,32.16,76
4374754,114768,850,0,37433.96,1,1,1,0,0,23,25.41,0
6229731,114835,609,2,95250.23,2,1,0,1,2,3,32.48,7
7693979,114892,580,2,53076.98,3,1,0,0,3,4,63.12,95
7264956,115063,633,0,98248.37,2,1,0,1,2,0,79.88,62
8350099,115208,747,6,44838.58,2,0,1,0,1,16,49.34,1
9683481,115440,676,0,44739.9,2,1,0,0,4,1,98.05,85
8574680,115474,627,0,54122.49,2,1,0,0,1,16,85.1,31
3030113,115582,559,2,53077.33,3,1,0,1,2,8,31.32,69
5159166,115743,616,0,28432.16,2,1,1,0,0,1,60.78,19
4769795,115799,568,4,35135.9,1,1,0,1,0,4,106.89,72
2074176,115997,528,4,17555.39,2,0,0,0,5,6,96.43,44
6672134,116078,563,2,101005.44,3,1,1,0,0,13,61.47,6
1352896,116093,687,7,57827.64,2,1,0,1,2,4,41.17,82
4860684,116112,680,3,13793.03,1,0,0,1,1,0,134.47,14
4694634,116389,803,8,0,1,1,1,1,1,12,28.94,0
1120642,116405,673,7,42122.47,3,1,1,1,0,12,12.84,7
2191066,116418,670,2,63470.12,2,1,0,0,1,11,52.94,42
1987737,116470,661,5,40132.68,2,1,0,1,1,3,64.5,6
4841005,116495,463,0,0,1,1,0,1,0,9,50.49,64
2130789,116547,693,1,88079.08,3,1,0,0,1,6,9.53,82
1527021,116703,644,10,19219.54,2,1,1,0,2,12,152.8,15
6543670,117007,606,1,31229.45,1,1,1,1,0,11,9.13,2
2188789,117031,561,5,39262.33,2,1,0,0,1,5,126.14,37
9626108,117072,684,0,120463.85,4,0,1,0,0,17,55.3,1
4993055,117094,606,0,0,1,1,1,1,2,9,22.78,1
5672073,117215,626,6,80835.56,3,1,1,0,0,24,13.82,2
9143903,117233,720,4,3998.74,2,0,1,0,0,14,216.87,2
4594297,117367,636,1,12297.42,2,1,0,0,0,5,85.81,46
3219824,117445,546,0,0,2,0,0,1,1,6,13.15,92
8930103,117500,712,3,36654.51,3,1,0,1,2,8,10.64,6
5076817,117538,850,5,23178.57,1,0,0,0,0,10,21.43,135
8935169,117711,471,3,44454.03,1,1,1,0,0,20,149.83,4
7829332,117975,694,2,27336.83,2,0,1,0,2,13,48.15,7
4194548,118080,705,10,0,1,1,1,0,1,15,18.12,1
2582524,118632,596,2,58237.64,2,1,1,1,1,22,119.19,4
2626229,118786,631,8,41058.25,2,1,0,0,2,0,33.26,14
8231838,119116,753,1,16305.75,1,1,0,1,3,8,126.99,6
6944126,119264,717,4,40859.07,2,0,1,0,0,21,15.24,0
8106470,119281,578,6,0,3,0,1,0,0,14,54.73,3
7897151,119524,734,0,24449.98,1,0,0,0,4,3,16.66,40
8835373,119535,655,1,34102.29,2,0,1,0,0,35,20.88,4
1908841,119627,605,1,46554.2,3,1,1,0,0,22,34.3,3
2651177,119629,587,3,18995.79,1,1,0,1,0,3,67.62,12
2016911,119651,663,7,9114.1,1,1,0,0,2,10,57.76,96
7754864,119676,685,0,929.29,1,1,1,0,1,17,106.7,5
6692553,119857,657,1,49932.89,1,1,1,0,0,21,59.59,3
2833230,119927,443,0,367.99,1,0,1,0,0,20,87.39,1
5171761,119989,839,8,0,2,0,0,1,2,1,22.86,49
4214348,120005,667,1,89071.08,2,0,0,1,1,0,24.04,0
4191175,120053,560,2,64474.49,2,0,1,0,1,0,23.04,7
9997381,120324,660,10,62046.54,1,0,1,1,1,25,34.19,3
8526486,120337,517,0,134546.77,4,1,0,0,4,0,46.7,10
3351868,120422,640,5,0,2,0,1,1,3,7,38.29,1
8077999,120478,560,6,0,3,1,0,0,1,6,118.47,13
4078418,120480,738,4,43101.22,1,0,0,1,2,6,112.86,11
5673212,120700,650,0,0,2,1,1,0,0,13,55.66,1
8761611,120798,611,10,40948.17,1,1,1,0,2,14,15.55,4
5191056,120896,590,10,0,3,1,1,0,0,13,61.78,6
2264748,121026,714,4,0,1,1,1,0,0,22,55.33,1
8434500,121053,704,1,0,1,1,0,1,2,8,33.71,100
2642635,121215,591,1,0,2,1,1,0,1,12,135.85,4
1848731,121322,537,1,28314.01,1,0,0,1,0,2,46.23,120
1247595,121369,511,3,71634.5,2,1,0,0,4,5,259.83,27
2564689,121753,530,0,130475.5,2,0,0,1,2,4,98.8,16
4965789,121869,743,4,131.52,2,1,0,1,1,8,91.19,0
3790237,122056,712,0,2891.85,1,1,0,0,0,0,199.46,75
7818496,122390,494,1,0,2,1,0,1,4,11,14.18,43
9147706,122394,577,4,38566.7,2,1,0,1,1,3,171.87,56
9075854,122532,652,2,0,2,1,1,0,1,24,62.38,5
4586084,122755,687,1,16208.9,1,1,1,0,2,22,117.95,3
7728339,122827,551,6,19483.81,2,1,0,1,1,0,48.36,48
1983738,122859,768,10,0,2,1,0,0,2,3,43.34,13
3762152,122977,683,6,45816.87,1,1,1,0,2,15,75.87,3
7358113,123005,550,1,776.79,1,1,1,0,0,12,154.28,2
1036161,123205,761,0,58526.42,2,1,1,0,0,16,261.99,0
7550190,123536,563,2,6942.68,4,0,1,0,0,30,38.4,6
5449368,123572,566,2,9772.66,2,0,0,0,3,3,40.77,36
8633773,123682,784,1,55450.65,1,1,0,0,3,8,16.73,80
5785687,123839,680,0,161572.68,3,1,0,1,1,8,111.59,20
8096887,123853,615,4,37249.95,4,0,0,0,1,7,79.1,22
9164991,124223,505,5,28347.77,2,1,0,1,1,5,86.9,53
3597059,124302,587,1,60179.32,1,1,1,0,1,21,100.21,8
4185957,124813,716,0,59174.45,2,1,0,0,2,8,14.21,18
5977931,124851,677,6,63039.06,2,1,0,0,2,8,78.71,2
4652414,124906,727,2,0,2,1,0,0,2,6,35.54,6
1981186,125071,721,6,35481.13,2,0,0,1,1,17,204.43,17
2022698,125151,607,6,40075.44,4,1,0,0,3,4,173.88,27
6261415,125382,683,4,0,3,1,1,0,0,9,92.12,5
1959074,125599,567,1,100.04,1,0,1,0,1,15,97.76,2
1841248,125611,622,2,0,1,1,0,1,0,8,73.8,32
8999183,125755,507,3,0,2,1,0,0,1,7,153.22,30
9436429,125905,567,0,8302.38,2,0,0,0,1,4,5.95,0
9910817,125990,850,3,3536.73,2,0,0,0,4,0,56.36,62
3641282,126122,631,7,26017.26,1,1,1,0,1,26,143.11,17
1954280,126146,667,0,15685.67,2,1,1,0,2,12,22.86,2
9519948,126225,594,2,1026.23,1,1,0,1,0,5,445.47,0
2344047,126240,710,3,0,3,1,1,0,0,21,175.36,6
4117625,126499,610,8,17451.15,2,1,1,0,1,19,155.58,5
2149597,126596,540,5,9352.05,1,0,0,0,2,3,29.46,69
2140194,126691,749,1,118871.31,3,0,1,0,1,11,38.53,5
4946066,126925,526,1,71112.85,2,1,0,1,0,8,28.38,22
7774229,126985,681,0,879.32,1,1,1,0,0,5,90.16,1
3011363,127032,586,0,48134.13,4,1,1,0,3,17,42.38,0
5130808,127121,637,6,0,2,0,0,0,3,8,94.46,33
1666754,127172,737,3,108222.94,3,1,1,0,0,11,264.84,1
2375453,127329,664,10,109705.97,2,1,1,0,1,1,124.29,0
8033426,127351,825,4,0,2,1,0,1,2,0,145.6,6
9770838,127470,801,0,19250.51,2,1,0,1,0,13,106.78,48
6307805,127529,687,10,614.18,1,1,0,1,1,7,76.4,35
5374922,127537,608,0,0,3,0,1,0,2,21,49.06,10
4426900,127560,577,1,34350.39,2,1,0,1,1,6,55.41,2
6271130,127645,590,2,0,1,0,0,0,4,3,38.42,14
5004485,127824,606,1,20257.73,2,1,0,0,0,4,89.91,16
5456272,127941,573,1,149081.14,2,1,1,0,0,20,18.47,3
7640184,127965,642,1,1382.49,1,1,1,1,1,11,184.29,9
3195773,128127,685,7,0,4,1,0,1,0,12,62.35,27
6033115,128223,644,1,84075.11,2,1,1,0,0,26,84.42,4
8670955,128276,849,1,41023.87,2,1,1,0,0,7,86.64,1
6304573,128418,601,6,36368.39,4,1,0,1,2,5,74.04,74
2217071,128624,602,4,114355.07,2,0,1,0,0,20,93.48,4
1156287,128679,691,2,346.13,1,1,1,0,0,10,36.56,1
8688755,128783,730,2,14648.97,2,1,1,0,2,21,47.16,0
2677407,128941,596,2,3579.92,2,1,1,0,0,1,314.89,9
2229110,129556,622,0,15463.68,2,0,0,0,2,7,41.19,59
4576135,129576,717,3,17043.15,3,1,0,1,0,6,214.07,59
9487336,129751,541,0,30018.55,3,0,1,0,1,20,89.86,1
5449324,129959,728,10,60398.75,1,1,0,1,1,9,43.82,109
3222252,130094,546,10,35129.25,1,1,1,0,0,8,56.36,5
6855396,130216,724,3,45952.15,3,1,1,0,0,10,321.38,2
2154126,130271,703,4,9860.69,1,1,1,0,1,13,81.97,1
5098412,130353,477,3,26490.05,2,0,0,1,2,9,205.68,107
7199635,130354,764,4,23231.8,1,0,1,0,1,24,24.11,0
5781295,130359,663,5,13052.3,1,1,1,0,0,20,21.81,1
3646552,130401,690,1,18900.68,1,1,0,1,1,13,98.16,25
8351517,130434,534,6,0,1,0,0,0,1,4,109.57,19
6075395,130477,691,1,0,3,0,1,0,1,14,65.1,2
9874152,130531,690,10,6389.53,2,1,0,0,1,8,76.81,43
1131249,130610,593,3,412.95,2,1,1,0,0,14,51.42,2
6022741,130726,572,4,58.15,1,0,0,0,1,1,51.26,84
2737893,130782,678,2,109141.91,4,1,1,1,1,15,80.01,5
3253031,130897,796,6,0,1,1,1,0,1,23,55.03,1
5437001,130914,759,2,42804.75,1,0,0,1,0,0,259.01,16
2936571,130915,743,10,0,3,1,0,0,1,12,174.78,46
2795765,131064,546,1,37913.28,2,0,0,1,3,0,31.3,0
3607983,131244,744,0,64418.96,1,0,1,0,1,21,48.32,13
5569244,131734,640,0,0,1,1,0,1,1,11,72.76,20
5727085,131757,653,1,37746.05,2,0,1,0,0,12,71.02,2
4533779,132047,692,1,41984.56,3,0,1,0,0,13,122.69,0
6752576,132146,388,1,0,2,1,0,0,3,4,35.69,17
4415796,132316,572,0,42584.41,2,0,1,0,0,14,27.06,2
5428914,132359,718,6,894.46,2,1,0,0,2,1,47.51,196
9479356,132498,730,8,68251.64,1,1,1,0,0,3,32.92,4
9196204,132537,689,10,48416.99,2,1,0,1,1,8,28.3,57
5213115,132591,702,0,35096.85,1,1,1,1,1,25,304.78,4
1852264,132653,810,2,67949.19,1,1,0,0,2,2,175.14,1
2548511,132663,573,2,55491.62,3,1,1,0,0,16,49.92,0
8106422,132687,822,3,15991.46,2,1,0,1,3,2,14.85,99
5641923,132699,553,5,21849.5,1,1,1,0,2,20,76.19,1
1739653,132709,547,4,0,2,1,1,0,1,18,33.64,2
1059486,132792,729,0,43864.98,1,1,0,0,1,10,75.25,126
6596150,132938,850,0,0,2,1,0,0,0,9,37.9,7
3194789,133104,647,3,34044.32,3,1,1,0,1,11,15.34,5
5394880,133164,752,0,22076.81,2,1,1,0,2,20,130.39,1
3710895,133223,837,7,5675.29,1,0,1,0,0,38,37.41,3
8412769,133276,568,3,0,4,0,1,0,1,7,151.77,11
8175395,133278,681,5,56303.07,2,1,1,0,0,22,335.87,2
1162230,133326,635,5,5419.88,2,1,1,0,0,27,122.86,1
2876932,133362,669,10,6466.09,2,0,0,0,1,0,35.97,20
2262382,133653,528,4,71842.32,1,1,1,1,2,11,601.92,4
3500715,133659,498,0,0,2,0,1,0,0,18,36.13,4
1604451,133782,742,1,32067.09,1,1,1,0,0,29,33.33,0
7194416,133795,827,0,0,3,1,1,0,1,36,46.34,8
3484601,133796,730,10,37591.46,2,1,1,0,0,0,36.33,2
8210624,133875,536,0,0,2,1,0,0,0,3,62.21,68
3138181,133955,758,1,33556.51,3,1,1,0,1,29,69.87,4
1701771,133958,701,3,0,1,0,1,0,1,23,23.88,0
6171716,134007,631,0,180.81,1,0,0,1,2,5,79.06,28
7117837,134144,820,8,0,1,0,0,0,0,6,442.88,1
1669324,134225,609,0,23189.63,1,0,1,0,0,20,75.03,0
7003042,134283,460,0,3502.58,2,1,0,1,1,13,264.32,15
4524499,134303,524,0,72354.86,2,1,1,0,0,24,63.86,0
5186414,134305,531,6,28994.9,1,1,1,0,1,18,38.95,6
2724590,134500,804,7,0,3,1,0,1,1,11,9.07,20
6933742,134677,650,0,0,1,0,1,1,3,31,228.44,3
7817881,134697,485,3,18717.25,2,0,1,0,1,23,32.1,0
3592974,134985,593,3,47347.17,2,1,1,0,1,9,46.6,2
4971793,135035,681,1,195462.26,1,1,0,0,1,8,74.5,7
3726327,135087,644,3,0,2,1,0,1,0,10,81.95,88
3970445,135138,762,2,1108.59,2,1,0,0,1,7,32.01,32
7917152,135207,509,3,0,1,0,0,1,1,3,16.33,66
1415846,135241,704,10,25638.19,2,1,1,1,3,25,90.25,1
4009172,135253,607,7,35855.01,2,1,0,0,2,0,45.89,150
6573147,135466,666,1,43242.83,2,1,0,1,0,8,195.45,34
7907400,135695,651,1,0,2,1,1,0,0,5,37.73,1
5163555,136332,656,1,0,2,1,0,1,2,5,34.61,4
5476257,136346,549,6,19698.47,3,1,1,0,0,23,89.87,5
3670896,136415,650,4,0,2,0,0,0,2,5,90.61,43
2813543,136489,703,10,45971.1,1,1,1,0,1,14,62.91,0
7417985,136554,631,7,90162.91,2,0,1,0,1,18,338.96,4
1649691,136862,636,7,14952.41,3,1,1,0,0,20,92.32,0
8896868,137034,733,0,23100.14,4,1,1,0,0,25,34.58,2
4731818,137042,653,1,0,2,1,1,0,0,7,23.95,20
4348276,137081,633,4,723.82,1,1,1,0,0,17,104.29,2
8722606,137285,501,5,0,2,1,1,0,1,16,116.49,0
6866294,137432,528,0,38534.01,1,0,0,1,3,8,9.4,18
6120253,137572,781,0,45764.16,1,1,0,1,0,11,44.55,16
4818418,137581,595,2,0,2,0,1,0,0,17,87.07,21
4740036,137642,724,3,34345.05,1,0,1,0,0,13,41.56,8
1397023,137778,579,0,26007.42,1,1,0,1,1,0,61.72,4
4240180,137812,554,1,38216.14,1,1,0,1,0,3,78.49,3
7685149,138105,631,7,10.65,1,1,1,0,3,19,27.28,2
6507321,138328,733,0,0,2,0,0,1,3,6,22.74,3
5674183,138399,488,0,0,1,0,0,1,1,7,46.53,159
2164686,138436,768,1,0,2,0,0,1,5,1,24.6,40
5682940,138479,614,3,18251.91,1,0,0,0,1,10,283.7,18
6891254,138504,606,2,0,3,0,0,1,2,4,58.2,37
9546409,138551,525,0,18057.11,1,1,0,1,1,2,102.07,7
7705490,138669,678,8,86340.43,2,1,0,0,0,5,113.99,18
9996207,138780,757,10,0,4,0,0,1,1,12,87.49,22
6555772,138817,676,2,25762.16,2,1,1,0,1,13,174.2,2
1463060,138842,740,6,0,2,1,1,0,0,22,59.62,5
2935113,139019,795,1,20915.38,2,0,1,0,0,12,28.86,6
5382463,139110,641,10,0,3,1,1,0,0,0,26.25,1
3995870,139178,736,3,56562.09,1,1,1,0,3,27,20.1,0
5453786,139186,600,3,14866.57,3,1,1,0,0,0,108.19,1
1641849,139211,541,4,38710.48,2,1,0,0,0,5,53.76,32
2818692,139285,729,2,29084.78,1,0,1,0,0,24,88.23,4
8290770,139286,546,1,35626,2,1,1,0,2,22,25.93,4
6799667,139434,850,3,325.7,1,0,1,0,0,16,31.71,5
6262632,139448,607,3,0,3,1,0,1,1,5,10.28,101
8321474,139557,652,5,22053.91,2,0,1,0,0,7,113.67,3
9580255,139569,638,0,32793.15,1,1,1,0,0,23,27.48,0
2940214,139581,755,1,23323.27,2,0,1,0,1,8,24.29,0
7462506,139589,626,5,106221.29,3,0,1,0,0,26,286.83,1
4188992,139673,696,0,23126.71,2,1,1,0,0,11,22.04,9
5273534,139704,850,0,79251.09,1,1,1,0,1,4,248.63,2
1744682,139726,679,9,46487.02,2,0,0,1,0,6,87.14,45
8315831,139807,598,5,0,1,1,0,0,1,4,50.65,9
1028374,140115,782,3,16.99,1,1,1,1,1,24,71.65,2
9722815,140163,664,10,3830.35,3,0,0,0,3,11,119.63,2
4305700,140382,514,1,10865.59,4,1,1,0,1,15,226.09,10
7110622,140605,551,5,62293.36,2,1,0,0,0,0,53.6,7
8235969,140666,545,0,0,2,1,0,0,2,3,296.07,28
2173965,140804,658,1,3091.8,1,1,1,0,1,21,88.28,3
6539837,140932,603,10,0,3,1,0,0,1,6,53.26,70
6266630,141043,591,10,29851.7,2,0,1,0,1,15,53.42,1
3090865,141094,785,1,75633.04,4,1,1,0,0,10,341.06,20
6038571,141158,562,0,49611.03,1,0,1,0,0,36,35.01,2
9508103,141241,734,3,0,3,1,0,0,4,4,83.04,13
6188935,141319,589,10,0,1,1,0,1,0,7,5.11,11
7851696,141337,626,1,0,3,0,1,0,1,3,49.98,1
6472441,141360,817,5,17401.15,4,0,1,0,0,8,49.31,18
7751158,141406,756,3,51105.27,2,1,1,1,1,5,38.48,2
5960271,141468,573,6,0,2,1,1,0,0,13,125.06,1
3135534,141672,652,0,31614.48,2,1,1,0,1,35,172.66,4
4218542,141683,574,0,0,2,1,1,0,0,11,21.72,11
8053918,141761,694,1,0,1,1,0,0,0,7,16.18,15
7361002,141797,468,0,0,1,1,1,1,0,20,69.5,1
3919694,141814,737,3,0,1,1,1,0,0,13,58.84,1
6049101,141832,758,3,33913.29,2,0,0,0,0,12,34.93,9
7812810,141843,506,10,0,2,1,1,0,1,10,24.17,0
1006810,141880,495,4,0,1,1,0,1,2,2,176.89,98
6098175,142004,692,3,13797.41,1,1,0,1,3,3,68.35,10
5813613,142185,642,0,0,1,1,0,0,3,6,119.64,58
